BorCode,WardName,WardCode,WardType,Assault_09_11
00BD,Kew,00BDGE,Prospering Metropolitan,74
00BD,Mortlake and Barnes Common,00BDGF,Prospering Metropolitan,82
00BD,North Richmond,00BDGG,Prospering Metropolitan,78
00BD,South Richmond,00BDGJ,Prospering Metropolitan,142
00BD,South Twickenham,00BDGK,Student Communities,40
00BD,St Margarets and North Twickenham,00BDGH,Prospering Metropolitan,54
00BD,Teddington,00BDGL,Student Communities,64
00BD,Twickenham Riverside,00BDGM,Prospering Metropolitan,99
00BD,West Twickenham,00BDGN,Student Communities,65
00BD,Whitton,00BDGP,Suburbs and Small Towns,70
00BE,Brunswick Park,00BEGC,Multicultural Metropolitan,210
00BE,Camberwell Green,00BEGD,Multicultural Metropolitan,326
00BE,Cathedrals,00BEGE,Multicultural Metropolitan,457
00BE,Chaucer,00BEGF,Multicultural Metropolitan,306
00BE,College,00BEGG,Prospering Metropolitan,111
00BE,East Dulwich,00BEGH,Prospering Metropolitan,114
00BE,East Walworth,00BEGJ,Multicultural Metropolitan,303
00BE,Faraday,00BEGK,Multicultural Metropolitan,265
00BE,Grange,00BEGL,Multicultural Metropolitan,359
00BE,Livesey,00BEGM,Multicultural Metropolitan,365
00BE,Newington,00BEGN,Multicultural Metropolitan,339
00BE,Nunhead,00BEGP,Multicultural Metropolitan,254
00BE,Peckham,00BEGQ,Multicultural Metropolitan,350
00BE,Peckham Rye,00BEGR,Multicultural Metropolitan,135
00BE,Riverside,00BEGS,Prospering Metropolitan,244
00BE,Rotherhithe,00BEGT,Multicultural Metropolitan,209
00BE,South Bermondsey,00BEGU,Multicultural Metropolitan,259
00BE,South Camberwell,00BEGW,Multicultural Metropolitan,113
00BE,Surrey Docks,00BEGX,Prospering Metropolitan,107
00BE,The Lane,00BEGY,Multicultural Metropolitan,363
00BE,Village,00BEGZ,Suburbs and Small Towns,68
00BF,Beddington North,00BFGC,Suburbs and Small Towns,85
00BF,Beddington South,00BFGD,Suburbs and Small Towns,112
00BF,Belmont,00BFGE,Suburbs and Small Towns,56
00BF,Carshalton Central,00BFGF,Suburbs and Small Towns,80
00BF,Carshalton South and Clockhouse,00BFGG,Suburbs and Small Towns,46
00BF,Cheam,00BFGH,Suburbs and Small Towns,38
00BF,Nonsuch,00BFGJ,Suburbs and Small Towns,64
00BF,St Helier,00BFGK,Industrial Hinterlands,158
00BF,Stonecot,00BFGL,Suburbs and Small Towns,56
00BF,Sutton Central,00BFGM,Student Communities,329
00BF,Sutton North,00BFGN,Suburbs and Small Towns,89
00BF,Sutton South,00BFGP,Prospering Metropolitan,76
00BF,Sutton West,00BFGQ,Student Communities,55
00BF,The Wrythe,00BFGR,Suburbs and Small Towns,67
00BF,Wallington North,00BFGS,Suburbs and Small Towns,86
00BF,Wallington South,00BFGT,Suburbs and Small Towns,88
00BF,Wandle Valley,00BFGU,Industrial Hinterlands,138
00BF,Worcester Park,00BFGW,Suburbs and Small Towns,71
00BG,Bethnal Green North,00BGFW,Multicultural Metropolitan,226
00BG,Bethnal Green South,00BGFX,Multicultural Metropolitan,420
00BG,Blackwall and Cubitt Town,00BGFY,Prospering Metropolitan,200
00BG,Bow East,00BGFZ,Multicultural Metropolitan,170
00BG,Bow West,00BGGA,Multicultural Metropolitan,247
00BG,Bromley-by-Bow,00BGGB,Multicultural Metropolitan,220
00BG,East India and Lansbury,00BGGC,Multicultural Metropolitan,314
00BG,Limehouse,00BGGD,Multicultural Metropolitan,249
00BG,Mile End and Globe Town,00BGGE,Multicultural Metropolitan,270
00BG,Mile End East,00BGGF,Multicultural Metropolitan,268
00BG,Millwall,00BGGG,Prospering Metropolitan,233
00BG,Shadwell,00BGGK,Multicultural Metropolitan,222
00BG,Spitalfields and Banglatown,00BGGL,Multicultural Metropolitan,296
00BG,St Dunstan's and Stepney Green,00BGGH,Multicultural Metropolitan,234
00BG,St Katharine's and Wapping,00BGGJ,Prospering Metropolitan,127
00BG,Weavers,00BGGM,Multicultural Metropolitan,274
00BG,Whitechapel,00BGGN,Multicultural Metropolitan,274
00BH,Cann Hall,00BHFX,Multicultural Metropolitan,232
00BH,Cathall,00BHFY,Multicultural Metropolitan,190
00BH,Chapel End,00BHFZ,Suburbs and Small Towns,157
00BH,Chingford Green,00BHGA,Suburbs and Small Towns,100
00BH,Endlebury,00BHGB,Suburbs and Small Towns,70
00BH,Forest,00BHGC,Multicultural Metropolitan,190
00BH,Grove Green,00BHGD,Multicultural Metropolitan,194
00BH,Hale End and Highams Park,00BHGE,Suburbs and Small Towns,76
00BH,Hatch Lane,00BHGF,Suburbs and Small Towns,115
00BH,High Street,00BHGG,Multicultural Metropolitan,365
00BH,Higham Hill,00BHGH,Multicultural Metropolitan,149
00BH,Hoe Street,00BHGJ,Multicultural Metropolitan,232
00BH,Larkswood,00BHGK,Suburbs and Small Towns,131
00BH,Lea Bridge,00BHGL,Multicultural Metropolitan,247
00BH,Leyton,00BHGM,Multicultural Metropolitan,226
00BH,Leytonstone,00BHGN,Prospering Metropolitan,208
00BH,Markhouse,00BHGP,Multicultural Metropolitan,171
00BH,Valley,00BHGQ,Suburbs and Small Towns,108
00BH,William Morris,00BHGR,Multicultural Metropolitan,183
00BH,Wood Street,00BHGS,Multicultural Metropolitan,190
00BJ,Balham,00BJFZ,Prospering Metropolitan,127
00BJ,Bedford,00BJGA,Prospering Metropolitan,118
00BJ,Earlsfield,00BJGB,Prospering Metropolitan,163
00BJ,East Putney,00BJGC,Prospering Metropolitan,94
00BJ,Fairfield,00BJGD,Prospering Metropolitan,215
00BJ,Furzedown,00BJGE,Prospering Metropolitan,152
00BJ,Graveney,00BJGF,Prospering Metropolitan,253
00BJ,Latchmere,00BJGG,Multicultural Metropolitan,287
00BJ,Nightingale,00BJGH,Prospering Metropolitan,127
00BJ,Northcote,00BJGJ,Prospering Metropolitan,175
00BJ,Queenstown,00BJGK,Multicultural Metropolitan,245
00BJ,Roehampton,00BJGL,Multicultural Metropolitan,261
00BJ,Shaftesbury,00BJGN,Prospering Metropolitan,157
00BJ,Southfields,00BJGP,Prospering Metropolitan,134
00BJ,St Mary's Park,00BJGM,Prospering Metropolitan,198
00BJ,Thamesfield,00BJGQ,Prospering Metropolitan,153
00BJ,Tooting,00BJGR,Prospering Metropolitan,232
00BJ,Wandsworth Common,00BJGS,Prospering Metropolitan,132
00BJ,West Hill,00BJGT,Prospering Metropolitan,120
00BJ,West Putney,00BJGU,Prospering Metropolitan,145
00BK,Abbey Road,00BKGA,Prospering Metropolitan,74
00BK,Bayswater,00BKGB,Prospering Metropolitan,102
00BK,Bryanston and Dorset Square,00BKGC,Prospering Metropolitan,230
00BK,Church Street,00BKGE,Multicultural Metropolitan,195
00BK,Churchill,00BKGD,Multicultural Metropolitan,143
00BK,Harrow Road,00BKGF,Multicultural Metropolitan,161
00BK,Hyde Park,00BKGG,Prospering Metropolitan,182
00BK,Knightsbridge and Belgravia,00BKGH,Prospering Metropolitan,119
00BK,Lancaster Gate,00BKGJ,Prospering Metropolitan,181
00BK,Little Venice,00BKGK,Prospering Metropolitan,135
00BK,Maida Vale,00BKGL,Prospering Metropolitan,88
00BK,Marylebone High Street,00BKGM,Prospering Metropolitan,137
00BK,Queen's Park,00BKGN,Multicultural Metropolitan,193
00BK,Regent's Park,00BKGP,Prospering Metropolitan,110
00BK,St James's,00BKGQ,Prospering Metropolitan,1582
00BK,Tachbrook,00BKGR,Prospering Metropolitan,64
00BK,Vincent Square,00BKGS,Prospering Metropolitan,151
00BK,Warwick,00BKGT,Prospering Metropolitan,221
00BK,West End,00BKGW,Prospering Metropolitan,1305
00BK,Westbourne,00BKGU,Multicultural Metropolitan,234
